|Mon Jan 19 17:45:06 +0000 2015|;|0|;|como aproveitar a nota do enem no sisu URL via AT_USER|
|Mon Jan 19 17:44:59 +0000 2015|;|7|;|rt AT_USER sisu opção 1 curso opção 2 curso anime super junior|
|Mon Jan 19 17:44:58 +0000 2015|;|1|;|rt AT_USER AT_USER deveria ter cursinho no sisu|
|Mon Jan 19 17:44:54 +0000 2015|;|0|;|minha segunda opção no sisu é letras|
|Mon Jan 19 17:44:48 +0000 2015|;|1|;|rt AT_USER eu já tirei um sisu|
|Mon Jan 19 17:44:47 +0000 2015|;|43|;|rt AT_USER bomba após saída de zé roberto grêmio tenta contratação de drogba através do sistema de cotas do sisu URL|
|Mon Jan 19 17:44:47 +0000 2015|;|1|;|rt AT_USER o que é sisu|
|Mon Jan 19 17:44:46 +0000 2015|;|0|;|sisu passando em medicina em 3 2 1|
|Mon Jan 19 17:44:44 +0000 2015|;|0|;|inscrições para o sisu 2015 até quinta URL|
|Mon Jan 19 17:44:39 +0000 2015|;|0|;|minha maior nota no sisu foi em volta redonda no rio hauhauahauah pensando se me inscrevo ou não|
|Mon Jan 19 17:44:39 +0000 2015|;|0|;|fiquei bolado quando entrei na inscrição do sisu e não tinha meu curso como uma das vagas (|
|Mon Jan 19 17:44:37 +0000 2015|;|0|;|fazendo inscrição no sisudeusnocomando uu|
|Mon Jan 19 17:44:34 +0000 2015|;|0|;|AT_USER eai lê como ta no sisu|
|Mon Jan 19 17:44:33 +0000 2015|;|0|;|qualé que é desse sisu ae|
|Mon Jan 19 17:44:23 +0000 2015|;|0|;|entrei no sisu e vi minhas notas em alguns cursos|
|Mon Jan 19 17:44:19 +0000 2015|;|0|;|sisu sisumedeixaentrar nota de corte cadê você eu não quero me fuder ◘|
|Mon Jan 19 17:44:18 +0000 2015|;|0|;|primeiro dia do sisu ce ta la utfpr ufrgs upf aí chega no terceiro dia ta la universidade rural do semi árido (se tiver muita sorte)|
|Mon Jan 19 17:44:18 +0000 2015|;|0|;|estão abertas as inscrições para vagas na educação superior pelo sisu e aí já escolheu em qual curso do if URL|
|Mon Jan 19 17:44:12 +0000 2015|;|0|;|AT_USER colocou em quais faculdades sisu eu me inscrevi só por inscrever mesmo corte tá quase em 800 pra jornal impossível|
